"","Facial attractiveness","Bodily attractiveness","Kindness and understanding","Ambitiousness","Intelligence","Creativity","Confidence","Funniness","Perceived as funny"
"impfa",1,0.699141704561145,0.0302596766797737,0.0381008732455691,0.113277018101175,0.0737173074581763,0.155198820602346,0.0354425371842113,0.124166420310117
"prefa",1,0.633803812180846,0.139622595518564,0.132865908209272,0.18672335161891,0.218851800623847,0.21185514495747,0.17327870207036,0.2973996264637
"gfattrac",1,0.697060039355889,0.24456723120085,0.202991051280804,0.265829010101066,0.2235652794901,0.370346728967378,0.418669674296925,0.187527878382448
"impba",0.699141704561145,1,0.00686410761454797,0.125399692574815,0.153421995960999,0.0980108493933401,0.179132687651544,0.0794315997170551,0.156268433433748
"preba",0.633803812180846,1,0.110156481067358,0.234145369222242,0.274271912570555,0.202490937539074,0.252259976006057,0.150131274471149,0.24680148289404
"gbattrac",0.697060039355889,1,0.223341730316318,0.20183401039914,0.2472917829705,0.200120369325838,0.337590445723525,0.372252711006268,0.200787066549708
"impku",0.0302596766797737,0.00686410761454797,1,0.175252876552938,0.140303248071822,0.0541155257216525,0.135758071894242,0.181617827944266,0.0538123630383067
"preku",0.139622595518564,0.110156481067358,1,0.336998926049331,0.260366097288117,0.171385629509159,0.245145040413466,0.286506288318379,0.204248676141189
"gkindunder",0.24456723120085,0.223341730316318,1,0.372178570754773,0.324157599074778,0.345250818968377,0.280512843303461,0.387172051461957,0.232442532955625
"impam",0.0381008732455691,0.125399692574815,0.175252876552938,1,0.382625867062631,0.232663125111294,0.36754193769413,0.205920232493818,0.107720669712097
"pream",0.132865908209272,0.234145369222242,0.336998926049331,1,0.363184706159619,0.195650019770767,0.335731515807895,0.236409940301912,0.152093722764898
"gambitious",0.202991051280804,0.20183401039914,0.372178570754773,1,0.524780736886367,0.27446820049373,0.318597904629199,0.278582913780335,0.120645053051191
"impin",0.113277018101175,0.153421995960999,0.140303248071822,0.382625867062631,1,0.241966329698052,0.308683557779633,0.207603910904408,0.100423282403065
"prein",0.18672335161891,0.274271912570555,0.260366097288117,0.363184706159619,1,0.272813529672257,0.37244189990912,0.183372667258205,0.190028983837124
"gintelligent",0.265829010101066,0.2472917829705,0.324157599074778,0.524780736886367,1,0.181941443391449,0.390824090120014,0.299389535074324,0.145909836298954
"impcr",0.0737173074581763,0.0980108493933401,0.0541155257216525,0.232663125111294,0.241966329698052,1,0.241222527192762,0.248133610817559,0.314551968995014
"precr",0.218851800623847,0.202490937539074,0.171385629509159,0.195650019770767,0.272813529672257,1,0.255950615333158,0.339959380695606,0.276050666085519
"gcreative",0.2235652794901,0.200120369325838,0.345250818968377,0.27446820049373,0.181941443391449,1,0.238507105996775,0.315352316773414,0.212518764809337
"impco",0.155198820602346,0.179132687651544,0.135758071894242,0.36754193769413,0.308683557779633,0.241222527192762,1,0.312240002397971,0.182239239558014
"preco",0.21185514495747,0.252259976006057,0.245145040413466,0.335731515807895,0.37244189990912,0.255950615333158,1,0.280674350341598,0.246172489916417
"gconfident",0.370346728967378,0.337590445723525,0.280512843303461,0.318597904629199,0.390824090120014,0.238507105996775,1,0.607697837478837,0.228693875261887
"imphp",0.0354425371842113,0.0794315997170551,0.181617827944266,0.205920232493818,0.207603910904408,0.248133610817559,0.312240002397971,1,0.542792807387382
"prehp",0.17327870207036,0.150131274471149,0.286506288318379,0.236409940301912,0.183372667258205,0.339959380695606,0.280674350341598,1,0.529719359268525
"gfunny",0.418669674296925,0.372252711006268,0.387172051461957,0.278582913780335,0.299389535074324,0.315352316773414,0.607697837478837,1,0.429981087708462
"impha",0.124166420310117,0.156268433433748,0.0538123630383067,0.107720669712097,0.100423282403065,0.314551968995014,0.182239239558014,0.542792807387382,1
"preha",0.2973996264637,0.24680148289404,0.204248676141189,0.152093722764898,0.190028983837124,0.276050666085519,0.246172489916417,0.529719359268525,1
"gpercfunny",0.187527878382448,0.200787066549708,0.232442532955625,0.120645053051191,0.145909836298954,0.212518764809337,0.228693875261887,0.429981087708462,1
