"id","sessionid","sex","males","females","goattrac","impfa","impba","impku","impam","impin","impcr","impco","imphp","impha","prefa","preba","preku","pream","prein","precr","preco","prehp","preha","gfattrac","gbattrac","gkindunder","gambitious","gintelligent","gcreative","gconfident","gfunny","gpercfunny","partnerid","age","year"
14000011,"1401","M",4,3,3,5,5,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,5,4,5,5,4,4,NA,14001011,17.5,"14"
14000011,"1401","M",4,3,4,5,5,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,5,4,4,4,5,4,NA,14001012,17.5,"14"
14000011,"1401","M",4,3,5,5,5,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,4,4,6,5,6,4,NA,14001013,17.5,"14"
14000012,"1401","M",4,3,2,4,4,6,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,5,5,3,3,3,3,NA,14001011,18.16666667,"14"
14000012,"1401","M",4,3,2,4,4,6,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,5,3,3,4,3,4,NA,14001012,18.16666667,"14"
14000012,"1401","M",4,3,3,4,4,6,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,5,4,2,2,4,NA,14001013,18.16666667,"14"
14000013,"1401","M",4,3,4,6,6,6,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,6,6,5,3,3,3,NA,14001011,21.16666667,"14"
14000013,"1401","M",4,3,4,6,6,6,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,6,5,5,5,5,6,NA,14001012,21.16666667,"14"
14000013,"1401","M",4,3,6,6,6,6,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,5,6,6,5,6,5,NA,14001013,21.16666667,"14"
14000014,"1401","M",4,3,5,6,4,6,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,6,3,7,3,5,4,NA,14001011,18.33333333,"14"
14000014,"1401","M",4,3,4,6,4,6,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,6,4,6,6,3,5,NA,14001012,18.33333333,"14"
14000014,"1401","M",4,3,6,6,4,6,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,5,3,6,6,3,5,NA,14001013,18.33333333,"14"
14000021,"1402","M",4,4,4,6,5,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,5,3,5,4,6,5,NA,14001021,20.33333333,"14"
14000021,"1402","M",4,4,6,6,5,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,6,4,4,5,4,6,NA,14001022,20.33333333,"14"
14000021,"1402","M",4,4,3,6,5,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,4,6,5,5,5,4,NA,14001023,20.33333333,"14"
14000021,"1402","M",4,4,5,6,5,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,5,5,4,5,5,5,NA,14001024,20.33333333,"14"
14000022,"1402","M",4,4,6,5,5,6,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,5,5,5,4,5,5,NA,14001021,18.16666667,"14"
14000022,"1402","M",4,4,6,5,5,6,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,5,5,4,6,4,5,NA,14001022,18.16666667,"14"
14000022,"1402","M",4,4,3,5,5,6,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,4,6,7,4,6,3,NA,14001023,18.16666667,"14"
14000022,"1402","M",4,4,5,5,5,6,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,5,5,5,5,5,4,NA,14001024,18.16666667,"14"
14000023,"1402","M",4,4,2,5,5,6,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,4,4,5,5,4,3,NA,14001021,19.5,"14"
14000023,"1402","M",4,4,5,5,5,6,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,4,5,5,6,5,5,NA,14001022,19.5,"14"
14000023,"1402","M",4,4,4,5,5,6,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4,3,5,3,6,5,NA,14001023,19.5,"14"
14000023,"1402","M",4,4,4,5,5,6,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,5,5,4,5,5,NA,14001024,19.5,"14"
14000024,"1402","M",4,4,3,6,6,7,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,5,5,4,5,6,3,NA,14001021,18.41666667,"14"
